timestamp,Robin_education_Julius,Robin_education_Billi,Moose_education_Ricardo,Robin_office_Maryann,Robin_office_Antonina,is_weekend
2016-01-01 00:00:00,117.2,9.3,255.3613,109.8,397.6,0
2016-01-01 01:00:00,234.4,17.9,256.8002,219.4,319.9,0
2016-01-01 02:00:00,234.8,18.3,259.6808,221.6,317.6,0
2016-01-01 03:00:00,236.4,18.3,261.1197,221.8,312.9,0
2016-01-01 04:00:00,239.8,16.6,268.3197,229.4,313.1,0
2016-01-01 05:00:00,237.6,15.4,268.3197,239.4,315.7,0
2016-01-01 06:00:00,247.2,17.0,270.2391,234.5,323.7,0
2016-01-01 07:00:00,281.0,16.1,271.6808,230.2,347.8,0
2016-01-01 08:00:00,300.4,38.2,274.0808,232.9,350.8,0
2016-01-01 09:00:00,293.8,41.8,268.8002,233.3,352.9,0
2016-01-01 10:00:00,295.6,41.8,265.4391,250.4,354.6,0
2016-01-01 11:00:00,292.2,43.7,263.0391,247.3,360.2,0
2016-01-01 12:00:00,293.6,43.7,264.4808,234.7,363.2,0
2016-01-01 13:00:00,289.4,44.1,266.8808,234.3,359.7,0
2016-01-01 14:00:00,287.0,44.8,264.0002,226.9,356.8,0
2016-01-01 15:00:00,295.0,46.9,269.7613,224.7,358.8,0
2016-01-01 16:00:00,293.8,45.4,268.8002,229.7,356.2,0
2016-01-01 17:00:00,293.2,44.1,268.3197,228.8,353.6,0
2016-01-01 18:00:00,277.4,22.9,260.1613,218.6,344.2,0
2016-01-01 19:00:00,278.2,18.5,255.3613,228.0,345.4,0
2016-01-01 20:00:00,239.4,18.0,257.7613,222.8,343.2,0
2016-01-01 21:00:00,239.0,17.7,258.2391,224.4,331.5,0
2016-01-01 22:00:00,232.8,19.8,256.3196,223.4,327.8,0
2016-01-01 23:00:00,232.4,20.4,256.3196,224.6,323.1,0
2016-01-02 00:00:00,256.4,22.2,255.8391,222.4,322.0,1
2016-01-02 01:00:00,258.2,19.3,257.7613,218.7,326.0,1
2016-01-02 02:00:00,257.2,18.5,258.2391,221.4,321.9,1
2016-01-02 03:00:00,256.8,18.6,259.2002,217.5,320.5,1
2016-01-02 04:00:00,255.4,18.6,260.6391,214.5,327.0,1
