time;temperature;load
01/01/09 01:00 AM;24;30360
01/01/09 02:00 AM;24;29155
01/01/09 03:00 AM;24;28086
01/01/09 04:00 AM;24;28031
01/01/09 05:00 AM;24;27730
01/01/09 06:00 AM;24;30490
01/01/09 07:00 AM;24;37081
01/01/09 08:00 AM;24;46975
01/01/09 09:00 AM;25;57261
01/01/09 10:00 AM;28;63679
01/01/09 11:00 AM;30;65123
01/01/09 12:00 PM;30;65142
01/01/09 01:00 PM;30;64745
01/01/09 02:00 PM;28;64783
01/01/09 03:00 PM;29;64607
01/01/09 04:00 PM;29;61089
01/01/09 05:00 PM;29;52406
01/01/09 06:00 PM;28;50328
01/01/09 07:00 PM;27;52425
01/01/09 08:00 PM;25;50457
01/01/09 09:00 PM;25;41577
01/01/09 10:00 PM;25;36002
01/01/09 11:00 PM;25;33522
01/02/09 12:00 AM;24;30625
01/02/09 01:00 AM;24;29060
01/02/09 02:00 AM;24;27586
01/02/09 03:00 AM;24;26846
01/02/09 04:00 AM;23;26561
01/02/09 05:00 AM;23;26626
01/02/09 06:00 AM;23;29623
01/02/09 07:00 AM;23;36612
01/02/09 08:00 AM;23;48735
01/02/09 09:00 AM;24;57640
01/02/09 10:00 AM;25;62674
01/02/09 11:00 AM;27;64199
01/02/09 12:00 PM;28;63426
01/02/09 01:00 PM;29;62501
01/02/09 02:00 PM;29;63652
01/02/09 03:00 PM;28;63210
01/02/09 04:00 PM;28;62199
01/02/09 05:00 PM;28;54278
01/02/09 06:00 PM;27;50700
01/02/09 07:00 PM;27;52979
01/02/09 08:00 PM;26;50947
01/02/09 09:00 PM;25;41600
01/02/09 10:00 PM;24;35936
01/02/09 11:00 PM;24;32087
01/03/09 12:00 AM;24;29645
01/03/09 01:00 AM;24;28288
01/03/09 02:00 AM;24;26990
01/03/09 03:00 AM;24;26284
01/03/09 04:00 AM;23;26047
01/03/09 05:00 AM;23;25965
01/03/09 06:00 AM;23;27347
01/03/09 07:00 AM;23;29320
01/03/09 08:00 AM;24;33989
01/03/09 09:00 AM;24;44474
01/03/09 10:00 AM;25;51617
01/03/09 11:00 AM;26;52517
01/03/09 12:00 PM;26;50691
01/03/09 01:00 PM;26;47800
01/03/09 02:00 PM;27;47629
01/03/09 03:00 PM;27;46962
01/03/09 04:00 PM;26;46680
01/03/09 05:00 PM;26;45825
01/03/09 06:00 PM;25;46635
01/03/09 07:00 PM;25;50761
01/03/09 08:00 PM;24;49260
01/03/09 09:00 PM;24;40557
01/03/09 10:00 PM;24;34675
01/03/09 11:00 PM;23;31996
01/04/09 12:00 AM;23;29536
01/04/09 01:00 AM;23;28364
01/04/09 02:00 AM;24;26949
01/04/09 03:00 AM;24;25615
01/04/09 04:00 AM;24;25146
01/04/09 05:00 AM;24;24969
01/04/09 06:00 AM;24;24833
01/04/09 07:00 AM;24;23998
01/04/09 08:00 AM;24;25935
01/04/09 09:00 AM;25;35521
01/04/09 10:00 AM;26;41549
01/04/09 11:00 AM;28;42181
01/04/09 12:00 PM;30;42797
01/04/09 01:00 PM;29;42573
01/04/09 02:00 PM;28;42768
01/04/09 03:00 PM;28;42478
01/04/09 04:00 PM;28;41759
01/04/09 05:00 PM;27;41730
01/04/09 06:00 PM;26;43558
01/04/09 07:00 PM;25;46955
01/04/09 08:00 PM;25;45841
01/04/09 09:00 PM;24;37817
01/04/09 10:00 PM;24;31649
01/04/09 11:00 PM;24;28601
01/05/09 12:00 AM;24;28846
01/05/09 01:00 AM;23;27669
01/05/09 02:00 AM;23;26661
01/05/09 03:00 AM;23;25805
01/05/09 04:00 AM;23;26181
01/05/09 05:00 AM;23;27499
01/05/09 06:00 AM;22;30108
01/05/09 07:00 AM;22;36221
01/05/09 08:00 AM;23;47377
01/05/09 09:00 AM;25;58317
01/05/09 10:00 AM;27;63803
01/05/09 11:00 AM;28;64688
01/05/09 12:00 PM;30;64566
01/05/09 01:00 PM;31;63859
01/05/09 02:00 PM;30;65080
01/05/09 03:00 PM;30;63998
01/05/09 04:00 PM;30;61603
01/05/09 05:00 PM;30;52972
01/05/09 06:00 PM;29;50044
01/05/09 07:00 PM;27;51883
01/05/09 08:00 PM;26;50579
01/05/09 09:00 PM;26;41658
01/05/09 10:00 PM;25;35432
01/05/09 11:00 PM;25;30607
01/06/09 12:00 AM;25;26446
01/06/09 01:00 AM;25;25501
01/06/09 02:00 AM;24;24399
01/06/09 03:00 AM;24;23654
01/06/09 04:00 AM;24;23693
01/06/09 05:00 AM;24;24533
01/06/09 06:00 AM;24;26592
01/06/09 07:00 AM;24;34911
01/06/09 08:00 AM;24;45499
01/06/09 09:00 AM;26;56231
01/06/09 10:00 AM;27;62163
01/06/09 11:00 AM;28;62925
01/06/09 12:00 PM;29;62755
01/06/09 01:00 PM;31;62442
01/06/09 02:00 PM;31;63284
01/06/09 03:00 PM;31;63551
01/06/09 04:00 PM;31;60818
01/06/09 05:00 PM;30;51756
01/06/09 06:00 PM;29;48568
01/06/09 07:00 PM;28;50603
01/06/09 08:00 PM;26;48838
01/06/09 09:00 PM;26;39657
01/06/09 10:00 PM;25;34123
01/06/09 11:00 PM;24;30656
01/07/09 12:00 AM;24;28467
01/07/09 01:00 AM;24;27413
01/07/09 02:00 AM;24;26278
01/07/09 03:00 AM;23;25308
01/07/09 04:00 AM;24;25491
01/07/09 05:00 AM;24;26134
01/07/09 06:00 AM;24;29348
01/07/09 07:00 AM;24;36634
01/07/09 08:00 AM;24;46279
01/07/09 09:00 AM;26;57095
01/07/09 10:00 AM;28;62266
01/07/09 11:00 AM;29;63545
01/07/09 12:00 PM;29;63280
01/07/09 01:00 PM;30;62925
01/07/09 02:00 PM;31;63753
01/07/09 03:00 PM;31;63749
01/07/09 04:00 PM;30;59773
01/07/09 05:00 PM;29;50793
01/07/09 06:00 PM;28;47610
01/07/09 07:00 PM;27;50482
01/07/09 08:00 PM;26;48815
01/07/09 09:00 PM;26;39911
01/07/09 10:00 PM;25;33469
01/07/09 11:00 PM;25;31038
01/08/09 12:00 AM;25;28365
01/08/09 01:00 AM;25;26895
01/08/09 02:00 AM;24;25906
01/08/09 03:00 AM;24;25066
01/08/09 04:00 AM;24;24908
01/08/09 05:00 AM;24;25798
01/08/09 06:00 AM;23;28553
01/08/09 07:00 AM;23;36103
01/08/09 08:00 AM;24;46230
01/08/09 09:00 AM;26;56703
01/08/09 10:00 AM;27;61633
01/08/09 11:00 AM;27;62766
01/08/09 12:00 PM;30;62163
01/08/09 01:00 PM;31;61714
01/08/09 02:00 PM;30;62128
01/08/09 03:00 PM;30;61966
01/08/09 04:00 PM;29;58857
01/08/09 05:00 PM;28;50635
01/08/09 06:00 PM;27;47718
01/08/09 07:00 PM;26;48927
01/08/09 08:00 PM;26;47476
01/08/09 09:00 PM;25;39695
01/08/09 10:00 PM;25;33108
01/08/09 11:00 PM;25;30258
01/09/09 12:00 AM;25;28023
01/09/09 01:00 AM;25;26578
01/09/09 02:00 AM;24;25658
01/09/09 03:00 AM;24;25044
01/09/09 04:00 AM;24;25086
01/09/09 05:00 AM;24;25982
01/09/09 06:00 AM;24;28811
01/09/09 07:00 AM;24;35799
01/09/09 08:00 AM;24;46134
01/09/09 09:00 AM;25;57085
01/09/09 10:00 AM;27;61732
01/09/09 11:00 AM;28;62745
01/09/09 12:00 PM;30;61201
01/09/09 01:00 PM;29;59993
01/09/09 02:00 PM;29;61386
01/09/09 03:00 PM;31;61695
01/09/09 04:00 PM;29;59307
01/09/09 05:00 PM;28;50715
01/09/09 06:00 PM;27;48161
01/09/09 07:00 PM;27;50818
01/09/09 08:00 PM;26;49033
01/09/09 09:00 PM;25;39879
01/09/09 10:00 PM;25;34111
01/09/09 11:00 PM;25;30132
01/10/09 12:00 AM;24;27071
01/10/09 01:00 AM;24;25440
01/10/09 02:00 AM;24;25769
01/10/09 03:00 AM;23;24853
01/10/09 04:00 AM;23;24684
01/10/09 05:00 AM;23;25292
01/10/09 06:00 AM;23;26845
01/10/09 07:00 AM;23;28526
01/10/09 08:00 AM;23;33323
01/10/09 09:00 AM;24;44291
01/10/09 10:00 AM;26;49659
01/10/09 11:00 AM;28;50415
01/10/09 12:00 PM;29;50178
01/10/09 01:00 PM;30;47193
01/10/09 02:00 PM;29;46476
01/10/09 03:00 PM;28;45443
01/10/09 04:00 PM;28;44754
01/10/09 05:00 PM;28;44443
01/10/09 06:00 PM;27;45393
01/10/09 07:00 PM;26;48925
01/10/09 08:00 PM;26;47713
01/10/09 09:00 PM;25;38899
01/10/09 10:00 PM;25;32849
01/10/09 11:00 PM;25;30401
01/11/09 12:00 AM;24;28216
01/11/09 01:00 AM;24;26577
01/11/09 02:00 AM;23;25192
01/11/09 03:00 AM;23;24339
01/11/09 04:00 AM;23;23915
01/11/09 05:00 AM;23;24162
01/11/09 06:00 AM;23;25497
01/11/09 07:00 AM;23;24822
01/11/09 08:00 AM;23;27184
01/11/09 09:00 AM;24;36866
01/11/09 10:00 AM;23;41827
01/11/09 11:00 AM;23;42790
01/11/09 12:00 PM;23;42940
01/11/09 01:00 PM;23;43906
01/11/09 02:00 PM;24;44055
01/11/09 03:00 PM;29;43606
01/11/09 04:00 PM;29;43309
01/11/09 05:00 PM;28;43144
01/11/09 06:00 PM;27;45245
01/11/09 07:00 PM;26;46606
01/11/09 08:00 PM;25;45405
01/11/09 09:00 PM;25;37290
01/11/09 10:00 PM;24;32001
